12,XPB_XPD_count,BG4_count
REV1,NA,1.0
SETX,NA,1.0
SIRT1,NA,1.0
SLC25A16,NA,1.0
SLF2,NA,1.0
SMC5,NA,1.0
SMC6,NA,1.0
SMUG1,NA,1.0
SSRP1,NA,1.0
TDP1,NA,1.0
TDP2,NA,1.0
TIGAR,NA,1.0
TOP2B,NA,1.0
TTC5,NA,1.0
USP7,NA,1.0
UVSSA,NA,1.0
WRNIP1,NA,1.0
XPA,NA,1.0
IER3,6.0,NA
FAAP100,5.0,NA
PAGR1,5.0,NA
PARP3,5.0,NA
TREX1,4.0,NA
TRIP13,4.0,NA
MUS81,3.0,NA
RAD51C,3.0,NA
RTEL1,3.0,NA
XAB2,3.0,NA
ALKBH3,2.0,NA
APBB1,2.0,NA
APEX1,2.0,NA
CDK1,2.0,NA
ERCC8,2.0,NA
PPP4C,2.0,NA
RECQL5,2.0,NA
REV3L,2.0,NA
RFC4,2.0,NA
RPS27L,2.0,NA
RUVBL1,2.0,NA
TFPT,2.0,NA
AP5Z1,1.0,NA
BABAM1,1.0,NA
DDB1,1.0,NA
ERCC6,1.0,NA
EXO1,1.0,NA
FOXM1,1.0,NA
HMGB1,1.0,NA
MC1R,1.0,NA
NPAS2,1.0,NA
OGG1,1.0,NA
PALB2,1.0,NA
PARPBP,1.0,NA
PML,1.0,NA
PSME4,1.0,NA
RAD1,1.0,NA
RAD23A,1.0,NA
RAD50,1.0,NA
RPA2,1.0,NA
RPS3,1.0,NA
RUVBL2,1.0,NA
SETMAR,1.0,NA
SF3B3,1.0,NA
SMC3,1.0,NA
TNFAIP1,1.0,NA
USP1,1.0,NA
