chr	start	end	gene_id	strand	kgID	bioentity	symbol	gene_info
chr1	7953290	7954290	uc057byc.1_up_1000_chr1_7953291_f	+	uc057byc.1	RGD:621808	PARK7	Parkinsonism associated deglycase
chr1	7960662	7961662	uc001aox.5_up_1000_chr1_7960663_f	+	uc001aox.5	RGD:621808	PARK7	Parkinsonism associated deglycase
chr1	7960662	7961662	uc057byd.1_up_1000_chr1_7960663_f	+	uc057byd.1	RGD:621808	PARK7	Parkinsonism associated deglycase
chr1	7960691	7961691	uc001aou.5_up_1000_chr1_7960692_f	+	uc001aou.5	RGD:621808	PARK7	Parkinsonism associated deglycase
chr1	7960700	7961700	uc001aov.5_up_1000_chr1_7960701_f	+	uc001aov.5	RGD:621808	PARK7	Parkinsonism associated deglycase
chr1	7960747	7961747	uc057bye.1_up_1000_chr1_7960748_f	+	uc057bye.1	RGD:621808	PARK7	Parkinsonism associated deglycase
chr1	7960893	7961893	uc057byf.1_up_1000_chr1_7960894_f	+	uc057byf.1	RGD:621808	PARK7	Parkinsonism associated deglycase
chr1	7960968	7961968	uc057byg.1_up_1000_chr1_7960969_f	+	uc057byg.1	RGD:621808	PARK7	Parkinsonism associated deglycase
chr1	7961766	7962766	uc057byh.1_up_1000_chr1_7961767_f	+	uc057byh.1	RGD:621808	PARK7	Parkinsonism associated deglycase
chr1	7964350	7965350	uc057byi.1_up_1000_chr1_7964351_f	+	uc057byi.1	RGD:621808	PARK7	Parkinsonism associated deglycase
chr1	11114629	11115629	uc057cfu.1_up_1000_chr1_11114630_r	-	uc057cfu.1	RGD:68371	MTOR	mechanistic target of rapamycin kinase
chr1	11115527	11116527	uc057cfv.1_up_1000_chr1_11115528_r	-	uc057cfv.1	RGD:68371	MTOR	mechanistic target of rapamycin kinase
chr1	11115663	11116663	uc057cfw.1_up_1000_chr1_11115664_r	-	uc057cfw.1	RGD:68371	MTOR	mechanistic target of rapamycin kinase
chr1	11131558	11132558	uc001asc.4_up_1000_chr1_11131559_r	-	uc001asc.4	RGD:68371	MTOR	mechanistic target of rapamycin kinase
chr1	11139660	11140660	uc057cfy.1_up_1000_chr1_11139661_r	-	uc057cfy.1	RGD:68371	MTOR	mechanistic target of rapamycin kinase
chr1	11145025	11146025	uc057cfx.1_up_1000_chr1_11145026_r	-	uc057cfx.1	RGD:68371	MTOR	mechanistic target of rapamycin kinase
chr1	11262507	11263507	uc001asd.4_up_1000_chr1_11262508_r	-	uc001asd.4	RGD:68371	MTOR	mechanistic target of rapamycin kinase
chr1	11663123	11664123	uc001aso.4_up_1000_chr1_11663124_f	+	uc001aso.4	RGD:620418	FBXO6	F-box protein 6
chr1	11663485	11664485	uc057cgp.1_up_1000_chr1_11663486_f	+	uc057cgp.1	RGD:620418	FBXO6	F-box protein 6
chr1	11667695	11668695	uc057cgq.1_up_1000_chr1_11667696_f	+	uc057cgq.1	RGD:620418	FBXO6	F-box protein 6
chr1	11681111	11682111	uc057cgt.1_up_1000_chr1_11681112_r	-	uc057cgt.1	RGD:1307499	MAD2L2	mitotic arrest deficient 2 like 2
chr1	11681111	11682111	uc057cgv.1_up_1000_chr1_11681112_r	-	uc057cgv.1	RGD:1307499	MAD2L2	mitotic arrest deficient 2 like 2
chr1	11681118	11682118	uc057cgs.1_up_1000_chr1_11681119_r	-	uc057cgs.1	RGD:1307499	MAD2L2	mitotic arrest deficient 2 like 2
chr1	11681131	11682131	uc057cgu.1_up_1000_chr1_11681132_r	-	uc057cgu.1	RGD:1307499	MAD2L2	mitotic arrest deficient 2 like 2
chr1	11681214	11682214	uc001asp.4_up_1000_chr1_11681215_r	-	uc001asp.4	RGD:1307499	MAD2L2	mitotic arrest deficient 2 like 2
chr1	11691477	11692477	uc057cgr.1_up_1000_chr1_11691478_r	-	uc057cgr.1	RGD:1307499	MAD2L2	mitotic arrest deficient 2 like 2
chr1	11691593	11692593	uc057cgw.1_up_1000_chr1_11691594_r	-	uc057cgw.1	RGD:1307499	MAD2L2	mitotic arrest deficient 2 like 2
chr1	11691609	11692609	uc009vnc.4_up_1000_chr1_11691610_r	-	uc009vnc.4	RGD:1307499	MAD2L2	mitotic arrest deficient 2 like 2
chr1	11691650	11692650	uc001asq.5_up_1000_chr1_11691651_r	-	uc001asq.5	RGD:1307499	MAD2L2	mitotic arrest deficient 2 like 2
chr1	23018447	23019447	uc001bgi.3_up_1000_chr1_23018448_f	+	uc001bgi.3	RGD:1562975	KDM1A	lysine demethylase 1A
chr1	23018492	23019492	uc001bgj.3_up_1000_chr1_23018493_f	+	uc001bgj.3	RGD:1562975	KDM1A	lysine demethylase 1A
chr1	23049424	23050424	uc057den.1_up_1000_chr1_23049425_f	+	uc057den.1	RGD:1562975	KDM1A	lysine demethylase 1A
chr1	23071123	23072123	uc057deo.1_up_1000_chr1_23071124_f	+	uc057deo.1	RGD:1562975	KDM1A	lysine demethylase 1A
chr1	23076233	23077233	uc057dep.1_up_1000_chr1_23076234_f	+	uc057dep.1	RGD:1562975	KDM1A	lysine demethylase 1A
chr1	23079872	23080872	uc057deq.1_up_1000_chr1_23079873_f	+	uc057deq.1	RGD:1562975	KDM1A	lysine demethylase 1A
chr1	27897085	27898085	uc057dxd.1_up_1000_chr1_27897086_r	-	uc057dxd.1	RGD:619714	RPA2	replication protein A2
chr1	27914513	27915513	uc057dxf.1_up_1000_chr1_27914514_r	-	uc057dxf.1	RGD:619714	RPA2	replication protein A2
chr1	27914588	27915588	uc057dxg.1_up_1000_chr1_27914589_r	-	uc057dxg.1	RGD:619714	RPA2	replication protein A2
chr1	27914743	27915743	uc001bpe.3_up_1000_chr1_27914744_r	-	uc001bpe.3	RGD:619714	RPA2	replication protein A2
chr1	27914746	27915746	uc057dxe.1_up_1000_chr1_27914747_r	-	uc057dxe.1	RGD:619714	RPA2	replication protein A2
chr1	28011086	28012086	uc057dxn.1_up_1000_chr1_28011087_r	-	uc057dxn.1	RGD:1309932	EYA3	EYA transcriptional coactivator and phosphatase 3
chr1	28035679	28036679	uc057dxp.1_up_1000_chr1_28035680_r	-	uc057dxp.1	RGD:1309932	EYA3	EYA transcriptional coactivator and phosphatase 3
chr1	28058087	28059087	uc057dxm.1_up_1000_chr1_28058088_r	-	uc057dxm.1	RGD:1309932	EYA3	EYA transcriptional coactivator and phosphatase 3
chr1	28088564	28089564	uc001bpj.4_up_1000_chr1_28088565_r	-	uc001bpj.4	RGD:1309932	EYA3	EYA transcriptional coactivator and phosphatase 3
chr1	28088597	28089597	uc001bpk.4_up_1000_chr1_28088598_r	-	uc001bpk.4	RGD:1309932	EYA3	EYA transcriptional coactivator and phosphatase 3
chr1	28088637	28089637	uc010ofs.3_up_1000_chr1_28088638_r	-	uc010ofs.3	RGD:1309932	EYA3	EYA transcriptional coactivator and phosphatase 3
chr1	28088637	28089637	uc010oft.3_up_1000_chr1_28088638_r	-	uc010oft.3	RGD:1309932	EYA3	EYA transcriptional coactivator and phosphatase 3
chr1	28088696	28089696	uc001bpi.3_up_1000_chr1_28088697_r	-	uc001bpi.3	RGD:1309932	EYA3	EYA transcriptional coactivator and phosphatase 3
chr1	35177661	35178661	uc057erj.1_up_1000_chr1_35177662_r	-	uc057erj.1	RGD:727923	SFPQ	splicing factor proline and glutamine rich
chr1	35178136	35179136	uc057erp.1_up_1000_chr1_35178137_r	-	uc057erp.1	RGD:727923	SFPQ	splicing factor proline and glutamine rich
chr1	35179105	35180105	uc057erm.1_up_1000_chr1_35179106_r	-	uc057erm.1	RGD:727923	SFPQ	splicing factor proline and glutamine rich
chr1	35179246	35180246	uc001byp.4_up_1000_chr1_35179247_r	-	uc001byp.4	RGD:727923	SFPQ	splicing factor proline and glutamine rich
chr1	35180645	35181645	uc001byq.4_up_1000_chr1_35180646_r	-	uc001byq.4	RGD:727923	SFPQ	splicing factor proline and glutamine rich
chr1	35181344	35182344	uc057ern.1_up_1000_chr1_35181345_r	-	uc057ern.1	RGD:727923	SFPQ	splicing factor proline and glutamine rich
chr1	35181606	35182606	uc057ero.1_up_1000_chr1_35181607_r	-	uc057ero.1	RGD:727923	SFPQ	splicing factor proline and glutamine rich
chr1	35188042	35189042	uc057erk.1_up_1000_chr1_35188043_r	-	uc057erk.1	RGD:727923	SFPQ	splicing factor proline and glutamine rich
chr1	35190574	35191574	uc057erl.1_up_1000_chr1_35190575_r	-	uc057erl.1	RGD:727923	SFPQ	splicing factor proline and glutamine rich
chr1	35193148	35194148	uc001bys.4_up_1000_chr1_35193149_r	-	uc001bys.4	RGD:727923	SFPQ	splicing factor proline and glutamine rich
chr1	40507740	40508740	uc001cfq.4_up_1000_chr1_40507741_f	+	uc001cfq.4	RGD:1309802	EXO5	exonuclease 5
chr1	40507746	40508746	uc001cfr.4_up_1000_chr1_40507747_f	+	uc001cfr.4	RGD:1309802	EXO5	exonuclease 5
chr1	40507753	40508753	uc057ffo.1_up_1000_chr1_40507754_f	+	uc057ffo.1	RGD:1309802	EXO5	exonuclease 5
chr1	40507760	40508760	uc001cfp.4_up_1000_chr1_40507761_f	+	uc001cfp.4	RGD:1309802	EXO5	exonuclease 5
chr1	40507766	40508766	uc057ffp.1_up_1000_chr1_40507767_f	+	uc057ffp.1	RGD:1309802	EXO5	exonuclease 5
chr1	40507774	40508774	uc057ffq.1_up_1000_chr1_40507775_f	+	uc057ffq.1	RGD:1309802	EXO5	exonuclease 5
chr1	40507789	40508789	uc057ffr.1_up_1000_chr1_40507790_f	+	uc057ffr.1	RGD:1309802	EXO5	exonuclease 5
chr1	40507797	40508797	uc057ffs.1_up_1000_chr1_40507798_f	+	uc057ffs.1	RGD:1309802	EXO5	exonuclease 5
chr1	40507805	40508805	uc057fft.1_up_1000_chr1_40507806_f	+	uc057fft.1	RGD:1309802	EXO5	exonuclease 5
chr1	40508084	40509084	uc057ffu.1_up_1000_chr1_40508085_f	+	uc057ffu.1	RGD:1309802	EXO5	exonuclease 5
chr1	44212454	44213454	uc001clq.2_up_1000_chr1_44212455_f	+	uc001clq.2	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44212458	44213458	uc057fth.1_up_1000_chr1_44212459_f	+	uc057fth.1	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44212470	44213470	uc057fti.1_up_1000_chr1_44212471_f	+	uc057fti.1	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44212472	44213472	uc057ftj.1_up_1000_chr1_44212473_f	+	uc057ftj.1	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44212472	44213472	uc057ftk.1_up_1000_chr1_44212473_f	+	uc057ftk.1	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44212477	44213477	uc057ftl.1_up_1000_chr1_44212478_f	+	uc057ftl.1	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44212482	44213482	uc057ftm.1_up_1000_chr1_44212483_f	+	uc057ftm.1	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44212483	44213483	uc057ftn.1_up_1000_chr1_44212484_f	+	uc057ftn.1	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44212487	44213487	uc001clr.2_up_1000_chr1_44212488_f	+	uc001clr.2	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44212490	44213490	uc001cls.2_up_1000_chr1_44212491_f	+	uc001cls.2	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44212502	44213502	uc057fto.1_up_1000_chr1_44212503_f	+	uc057fto.1	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44212840	44213840	uc057ftp.1_up_1000_chr1_44212841_f	+	uc057ftp.1	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44213832	44214832	uc057ftq.1_up_1000_chr1_44213833_f	+	uc057ftq.1	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44217364	44218364	uc057ftr.1_up_1000_chr1_44217365_f	+	uc057ftr.1	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	44218419	44219419	uc057fts.1_up_1000_chr1_44218420_f	+	uc057fts.1	RGD:1311295	DMAP1	DNA methyltransferase 1-associated protein 1
chr1	45331270	45332270	uc057fyh.1_up_1000_chr1_45331271_r	-	uc057fyh.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45332083	45333083	uc057fyn.1_up_1000_chr1_45332084_r	-	uc057fyn.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45332278	45333278	uc057fyo.1_up_1000_chr1_45332279_r	-	uc057fyo.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45332379	45333379	uc057fyt.1_up_1000_chr1_45332380_r	-	uc057fyt.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45332488	45333488	uc057fym.1_up_1000_chr1_45332489_r	-	uc057fym.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45332945	45333945	uc057fys.1_up_1000_chr1_45332946_r	-	uc057fys.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45333324	45334324	uc057fyy.1_up_1000_chr1_45333325_r	-	uc057fyy.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45334511	45335511	uc057fyp.1_up_1000_chr1_45334512_r	-	uc057fyp.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45339935	45340935	uc001cng.4_up_1000_chr1_45339936_r	-	uc001cng.4	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45339935	45340935	uc009vxo.4_up_1000_chr1_45339936_r	-	uc009vxo.4	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45339942	45340942	uc057fze.1_up_1000_chr1_45339943_r	-	uc057fze.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45339945	45340945	uc057fzi.1_up_1000_chr1_45339946_r	-	uc057fzi.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45339946	45340946	uc057fyq.1_up_1000_chr1_45339947_r	-	uc057fyq.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45339954	45340954	uc001cnf.4_up_1000_chr1_45339955_r	-	uc001cnf.4	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45339955	45340955	uc057fza.1_up_1000_chr1_45339956_r	-	uc057fza.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45339955	45340955	uc057fzb.1_up_1000_chr1_45339956_r	-	uc057fzb.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45339995	45340995	uc057fyk.1_up_1000_chr1_45339996_r	-	uc057fyk.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340000	45341000	uc057fyw.1_up_1000_chr1_45340001_r	-	uc057fyw.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340010	45341010	uc057fyu.1_up_1000_chr1_45340011_r	-	uc057fyu.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340080	45341080	uc001cnh.4_up_1000_chr1_45340081_r	-	uc001cnh.4	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340080	45341080	uc057fyi.1_up_1000_chr1_45340081_r	-	uc057fyi.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340091	45341091	uc057fzh.1_up_1000_chr1_45340092_r	-	uc057fzh.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340115	45341115	uc001cni.3_up_1000_chr1_45340116_r	-	uc001cni.3	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340163	45341163	uc057fyl.1_up_1000_chr1_45340164_r	-	uc057fyl.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340235	45341235	uc057fzj.1_up_1000_chr1_45340236_r	-	uc057fzj.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340381	45341381	uc057fyr.1_up_1000_chr1_45340382_r	-	uc057fyr.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340387	45341387	uc057fyx.1_up_1000_chr1_45340388_r	-	uc057fyx.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340388	45341388	uc001cnm.4_up_1000_chr1_45340389_r	-	uc001cnm.4	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340388	45341388	uc001cnn.4_up_1000_chr1_45340389_r	-	uc001cnn.4	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340388	45341388	uc057fyj.1_up_1000_chr1_45340389_r	-	uc057fyj.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340397	45341397	uc057fzc.1_up_1000_chr1_45340398_r	-	uc057fzc.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340414	45341414	uc057fyz.1_up_1000_chr1_45340415_r	-	uc057fyz.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340415	45341415	uc057fyv.1_up_1000_chr1_45340416_r	-	uc057fyv.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340415	45341415	uc057fzd.1_up_1000_chr1_45340416_r	-	uc057fzd.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340432	45341432	uc057fzf.1_up_1000_chr1_45340433_r	-	uc057fzf.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340432	45341432	uc057fzg.1_up_1000_chr1_45340433_r	-	uc057fzg.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340447	45341447	uc057fyg.1_up_1000_chr1_45340448_r	-	uc057fyg.1	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340470	45341470	uc001cnl.3_up_1000_chr1_45340471_r	-	uc001cnl.3	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	45340470	45341470	uc009vxp.4_up_1000_chr1_45340471_r	-	uc009vxp.4	RGD:620045	MUTYH	mutY DNA glycosylase
chr1	46246687	46247687	uc057gdh.1_up_1000_chr1_46246688_f	+	uc057gdh.1	RGD:1310600	RAD54L	RAD54 like
chr1	46246694	46247694	uc009vye.2_up_1000_chr1_46246695_f	+	uc009vye.2	RGD:1310600	RAD54L	RAD54 like
chr1	46246699	46247699	uc057gdi.1_up_1000_chr1_46246700_f	+	uc057gdi.1	RGD:1310600	RAD54L	RAD54 like
chr1	46246731	46247731	uc001cpl.3_up_1000_chr1_46246732_f	+	uc001cpl.3	RGD:1310600	RAD54L	RAD54 like
chr1	46246768	46247768	uc057gdj.1_up_1000_chr1_46246769_f	+	uc057gdj.1	RGD:1310600	RAD54L	RAD54 like
chr1	46247511	46248511	uc057gdk.1_up_1000_chr1_46247512_f	+	uc057gdk.1	RGD:1310600	RAD54L	RAD54 like
chr1	46247511	46248511	uc057gdl.1_up_1000_chr1_46247512_f	+	uc057gdl.1	RGD:1310600	RAD54L	RAD54 like
chr1	46258963	46259963	uc057gdm.1_up_1000_chr1_46258964_f	+	uc057gdm.1	RGD:1310600	RAD54L	RAD54 like
chr1	46259847	46260847	uc057gdn.1_up_1000_chr1_46259848_f	+	uc057gdn.1	RGD:1310600	RAD54L	RAD54 like
chr1	46260337	46261337	uc057gdp.1_up_1000_chr1_46260338_f	+	uc057gdp.1	RGD:1310600	RAD54L	RAD54 like
chr1	46271465	46272465	uc057gdq.1_up_1000_chr1_46271466_f	+	uc057gdq.1	RGD:1310600	RAD54L	RAD54 like
chr1	46271504	46272504	uc057gdr.1_up_1000_chr1_46271505_f	+	uc057gdr.1	RGD:1310600	RAD54L	RAD54 like
chr1	62435296	62436296	uc057hcz.1_up_1000_chr1_62435297_f	+	uc057hcz.1	RGD:1306461	USP1	ubiquitin specific peptidase 1
chr1	62435297	62436297	uc057hda.1_up_1000_chr1_62435298_f	+	uc057hda.1	RGD:1306461	USP1	ubiquitin specific peptidase 1
chr1	62435303	62436303	uc001daj.3_up_1000_chr1_62435304_f	+	uc001daj.3	RGD:1306461	USP1	ubiquitin specific peptidase 1
chr1	62435654	62436654	uc001dal.3_up_1000_chr1_62435655_f	+	uc001dal.3	RGD:1306461	USP1	ubiquitin specific peptidase 1
chr1	64202626	64203626	uc057hfu.1_up_1000_chr1_64202627_f	+	uc057hfu.1	RGD:1565480	UBE2U	ubiquitin-conjugating enzyme E2U (putative)
chr1	64202626	64203626	uc057hfv.1_up_1000_chr1_64202627_f	+	uc057hfv.1	RGD:1565480	UBE2U	ubiquitin-conjugating enzyme E2U (putative)
chr1	64202806	64203806	uc001dbn.1_up_1000_chr1_64202807_f	+	uc001dbn.1	RGD:1565480	UBE2U	ubiquitin-conjugating enzyme E2U (putative)
chr1	64213814	64214814	uc057hfw.1_up_1000_chr1_64213815_f	+	uc057hfw.1	RGD:1565480	UBE2U	ubiquitin-conjugating enzyme E2U (putative)
chr1	64214452	64215452	uc057hfx.1_up_1000_chr1_64214453_f	+	uc057hfx.1	RGD:1565480	UBE2U	ubiquitin-conjugating enzyme E2U (putative)
chr1	64219863	64220863	uc057hfy.1_up_1000_chr1_64219864_f	+	uc057hfy.1	RGD:1565480	UBE2U	ubiquitin-conjugating enzyme E2U (putative)
chr1	75795881	75796881	uc001dhd.3_up_1000_chr1_75795882_f	+	uc001dhd.3	RGD:1309190	MSH4	mutS homolog 4
chr1	91499892	91500892	uc001doe.4_up_1000_chr1_91499893_f	+	uc001doe.4	RGD:1308351	CDC7	cell division cycle 7
chr1	91500107	91501107	uc009wdc.3_up_1000_chr1_91500108_f	+	uc009wdc.3	RGD:1308351	CDC7	cell division cycle 7
chr1	91500137	91501137	uc057igf.1_up_1000_chr1_91500138_f	+	uc057igf.1	RGD:1308351	CDC7	cell division cycle 7
chr1	91500159	91501159	uc057igg.1_up_1000_chr1_91500160_f	+	uc057igg.1	RGD:1308351	CDC7	cell division cycle 7
chr1	91512126	91513126	uc057igh.1_up_1000_chr1_91512127_f	+	uc057igh.1	RGD:1308351	CDC7	cell division cycle 7
chr1	113904140	113905140	uc001eeg.4_up_1000_chr1_113904141_f	+	uc001eeg.4	RGD:1310343	DCLRE1B	DNA cross-link repair 1B
chr1	113904408	113905408	uc057jov.1_up_1000_chr1_113904409_f	+	uc057jov.1	RGD:1310343	DCLRE1B	DNA cross-link repair 1B
chr1	114853802	114854802	uc001efr.5_up_1000_chr1_114853803_f	+	uc001efr.5	RGD:3794	SYCP1	synaptonemal complex protein 1
chr1	114853867	114854867	uc001efq.5_up_1000_chr1_114853868_f	+	uc001efq.5	RGD:3794	SYCP1	synaptonemal complex protein 1
chr1	114853867	114854867	uc009wgw.5_up_1000_chr1_114853868_f	+	uc009wgw.5	RGD:3794	SYCP1	synaptonemal complex protein 1
chr1	114853867	114854867	uc057jqt.1_up_1000_chr1_114853868_f	+	uc057jqt.1	RGD:3794	SYCP1	synaptonemal complex protein 1
chr1	114854132	114855132	uc057jqu.1_up_1000_chr1_114854133_f	+	uc057jqu.1	RGD:3794	SYCP1	synaptonemal complex protein 1
chr1	114857549	114858549	uc057jqv.1_up_1000_chr1_114857550_f	+	uc057jqv.1	RGD:3794	SYCP1	synaptonemal complex protein 1
chr1	114858687	114859687	uc057jqw.1_up_1000_chr1_114858688_f	+	uc057jqw.1	RGD:3794	SYCP1	synaptonemal complex protein 1
chr1	114909078	114910078	uc057jqx.1_up_1000_chr1_114909079_f	+	uc057jqx.1	RGD:3794	SYCP1	synaptonemal complex protein 1
chr1	114909197	114910197	uc057jqy.1_up_1000_chr1_114909198_f	+	uc057jqy.1	RGD:3794	SYCP1	synaptonemal complex protein 1
chr1	114976556	114977556	uc057jqz.1_up_1000_chr1_114976557_f	+	uc057jqz.1	RGD:3794	SYCP1	synaptonemal complex protein 1
chr1	147241640	147242640	uc010ozp.3_up_1000_chr1_147241641_f	+	uc010ozp.3	RGD:1311935	CHD1L	chromodomain helicase DNA binding protein 1-like
chr1	147241640	147242640	uc031pok.1_up_1000_chr1_147241641_f	+	uc031pok.1	RGD:1311935	CHD1L	chromodomain helicase DNA binding protein 1-like
chr1	147241683	147242683	uc001epm.6_up_1000_chr1_147241684_f	+	uc001epm.6	RGD:1311935	CHD1L	chromodomain helicase DNA binding protein 1-like
chr1	147241683	147242683	uc001epo.6_up_1000_chr1_147241684_f	+	uc001epo.6	RGD:1311935	CHD1L	chromodomain helicase DNA binding protein 1-like
chr1	147241683	147242683	uc057kel.1_up_1000_chr1_147241684_f	+	uc057kel.1	RGD:1311935	CHD1L	chromodomain helicase DNA binding protein 1-like
chr1	147241683	147242683	uc057kem.1_up_1000_chr1_147241684_f	+	uc057kem.1	RGD:1311935	CHD1L	chromodomain helicase DNA binding protein 1-like
chr1	147241703	147242703	uc057ken.1_up_1000_chr1_147241704_f	+	uc057ken.1	RGD:1311935	CHD1L	chromodomain helicase DNA binding protein 1-like
chr1	147241745	147242745	uc057keo.1_up_1000_chr1_147241746_f	+	uc057keo.1	RGD:1311935	CHD1L	chromodomain helicase DNA binding protein 1-like
chr1	147269903	147270903	uc057keq.1_up_1000_chr1_147269904_f	+	uc057keq.1	RGD:1311935	CHD1L	chromodomain helicase DNA binding protein 1-like
chr1	147269994	147270994	uc057ker.1_up_1000_chr1_147269995_f	+	uc057ker.1	RGD:1311935	CHD1L	chromodomain helicase DNA binding protein 1-like
chr1	153727066	153728066	uc001fct.4_up_1000_chr1_153727067_f	+	uc001fct.4	RGD:1304593	INTS3	integrator complex subunit 3
chr1	153727090	153728090	uc009wom.4_up_1000_chr1_153727091_f	+	uc009wom.4	RGD:1304593	INTS3	integrator complex subunit 3
